CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS
HIST 177 (38597),Gay/Lesbians in U.S. History,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,DALY 206,"Unger, Nancy C",5.00
HIST 177 (38597),Gay/Lesbians in U.S. History,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,DALY 206,"Unger, Nancy C",5.00
HIST 177 (38597),Gay/Lesbians in U.S. History,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,DALY 206,"Unger, Nancy C",5.00
HIST 177 (38597),Gay/Lesbians in U.S. History,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,DALY 206,"Unger, Nancy C",5.00
ITAL 185 (38602),Italian-American Experience,"American Studies (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 109,"Ferraro, Evelyn",5.00
ITAL 185 (38602),Italian-American Experience,"American Studies (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 109,"Ferraro, Evelyn",5.00
ITAL 185 (38602),Italian-American Experience,"American Studies (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 109,"Ferraro, Evelyn",5.00
ITAL 185 (38602),Italian-American Experience,"American Studies (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 109,"Ferraro, Evelyn",5.00
ITAL 185 (38602),Italian-American Experience,"American Studies (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 109,"Ferraro, Evelyn",5.00
ITAL 185 (38602),Italian-American Experience,"American Studies (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 109,"Ferraro, Evelyn",5.00
ITAL 185 (38602),Italian-American Experience,"American Studies (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 109,"Ferraro, Evelyn",5.00
MILS 176 (39926),US Military History,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway)",TR 10:20 AM - 12pm,VARSI 231,"Strain, Christopher John",3.00
MILS 176 (39926),US Military History,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway)",TR 10:20 AM - 12pm,VARSI 231,"Strain, Christopher John",3.00
MILS 176 (39926),US Military History,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway)",TR 10:20 AM - 12pm,VARSI 231,"Strain, Christopher John",3.00
MILS 176 (39926),US Military History,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway)",TR 10:20 AM - 12pm,VARSI 231,"Strain, Christopher John",3.00
MILS 176 (39926),US Military History,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway)",TR 10:20 AM - 12pm,VARSI 231,"Strain, Christopher John",3.00
MILS 176 (39926),US Military History,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway)",TR 10:20 AM - 12pm,VARSI 231,"Strain, Christopher John",3.00
MILS 176 (39926),US Military History,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway)",TR 10:20 AM - 12pm,VARSI 231,"Strain, Christopher John",3.00
PHIL 33 (39786),Ethics and Race,"American Studies (Pathway), Applied Ethics (Pathway), Race Place & Soc Inequalities (Pathway), Ethics",TR 03:50 PM - 5:30pm,CASA 8,"Clardy, Justin",4.00
PHIL 33 (39786),Ethics and Race,"American Studies (Pathway), Applied Ethics (Pathway), Race Place & Soc Inequalities (Pathway), Ethics",TR 03:50 PM - 5:30pm,CASA 8,"Clardy, Justin",4.00
PHIL 33 (39786),Ethics and Race,"American Studies (Pathway), Applied Ethics (Pathway), Race Place & Soc Inequalities (Pathway), Ethics",TR 03:50 PM - 5:30pm,CASA 8,"Clardy, Justin",4.00
PHIL 33 (39786),Ethics and Race,"American Studies (Pathway), Applied Ethics (Pathway), Race Place & Soc Inequalities (Pathway), Ethics",TR 03:50 PM - 5:30pm,CASA 8,"Clardy, Justin",4.00
PHIL 33 (39786),Ethics and Race,"American Studies (Pathway), Applied Ethics (Pathway), Race Place & Soc Inequalities (Pathway), Ethics",TR 03:50 PM - 5:30pm,CASA 8,"Clardy, Justin",4.00
PHIL 33 (39786),Ethics and Race,"American Studies (Pathway), Applied Ethics (Pathway), Race Place & Soc Inequalities (Pathway), Ethics",TR 03:50 PM - 5:30pm,CASA 8,"Clardy, Justin",4.00
PHIL 33 (39786),Ethics and Race,"American Studies (Pathway), Applied Ethics (Pathway), Race Place & Soc Inequalities (Pathway), Ethics",TR 03:50 PM - 5:30pm,CASA 8,"Clardy, Justin",4.00
POLI 1 (38899),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 02:15 PM - 3:20pm,KENNA 104,"Harrigan, Matthew Thomas",4.00
POLI 1 (38899),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 02:15 PM - 3:20pm,KENNA 104,"Harrigan, Matthew Thomas",4.00
POLI 1 (38899),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 02:15 PM - 3:20pm,KENNA 104,"Harrigan, Matthew Thomas",4.00
POLI 1 (38899),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 02:15 PM - 3:20pm,KENNA 104,"Harrigan, Matthew Thomas",4.00
POLI 1 (38899),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 02:15 PM - 3:20pm,KENNA 104,"Harrigan, Matthew Thomas",4.00
POLI 1 (38899),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 02:15 PM - 3:20pm,KENNA 104,"Harrigan, Matthew Thomas",4.00
POLI 1 (38899),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 02:15 PM - 3:20pm,KENNA 104,"Harrigan, Matthew Thomas",4.00
POLI 1 (38901),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",TR 08:30 AM - 10:10am,KENNA 111,"Peretti, Terri L",4.00
POLI 1 (38901),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",TR 08:30 AM - 10:10am,KENNA 111,"Peretti, Terri L",4.00
POLI 1 (38901),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",TR 08:30 AM - 10:10am,KENNA 111,"Peretti, Terri L",4.00
POLI 1 (38901),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",TR 08:30 AM - 10:10am,KENNA 111,"Peretti, Terri L",4.00
