CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
ARTH 166 (35572),From Emaki to Manga,"Beauty (Pathway), Gender, Sexuality & the Body (Pathway)",TR 10:20 AM - 12pm,DOWD 208,"Clydesdale, Heather D",5.00,10
ARTS 30 (40437),Basic Drawing,"Beauty (Pathway), Arts",TBA,TBA,TBA,4.00,34
ARTS 32 (34323),Two-Dimensional Design,"Beauty (Pathway), Design Thinking (Pathway), Arts",MW 10:30 AM - 12:50pm,DOWD 314,"Eastburn, Jessica",4.00,None
ARTS 43 (34314),Basic Painting,"Beauty (Pathway), Arts",MW 03:30 PM - 5:50pm,DOWD 320,"Detweiler, Robert K",4.00,None
ARTS 43 (34325),Basic Painting,"Beauty (Pathway), Arts",TR 04:30 PM - 6:50pm,DOWD 320,"Reynolds, Ryan Michael",4.00,None
ARTS 70 (34335),Graphic Design: Typography,"Beauty (Pathway), Design Thinking (Pathway), Arts",MW 01:00 PM - 3:20pm,DOWD 302,"Li, Qiuwen",4.00,5
ARTS 143 (34318),Intermediate Painting,"Beauty (Pathway), Arts",TR 02:00 PM - 4:20pm,DOWD 320,"Reynolds, Ryan Michael",5.00,13
ENGL 45 (34410),Reading Film,"Beauty (Pathway), Cinema Studies (Pathway)",W 05:25 PM - 8:25pm,DALY 206,"Hansen, Ronald Thomas",4.00,1
MUSC 8 (34799),Intro to Listening: Western,"Beauty (Pathway), Arts",TR 02:00 PM - 3:40pm,ONLINE,"Wait-Kromm, Nancy",4.00,1
MUSC 10 (40488),Intro to Listening: Jazz,"Beauty (Pathway), Diversity",TBA,TBA,TBA,4.00,29
MUSC 10 (35670),Intro to Listening: Jazz,"Beauty (Pathway), Diversity",MWF 11:45 AM - 12:50pm,MDF 119,"Schultz, Carl Arther",4.00,None
MUSC 196 (35675),Music Since 1945,"Beauty (Pathway), Justice and the Arts (Pathway), Paradigm Shifts (Pathway), Diversity",TR 03:50 PM - 5:30pm,MDF 119,"Kennedy, John Wallace",5.00,None
THTR 30 (35133),Intro to Design,"Beauty (Pathway), Design Thinking (Pathway), Arts",TR 10:20 AM - 12pm,MAYER 231,"Enos, Jerald R",4.00,None
CHST 75 (35608),Technology and Education,"Children, Family, & Society (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 11:45 AM - 12:50pm,ONLINE,"Day, Elizabeth B",4.00,None
CHST 106 (34136),Urban Educ & Multiculturalism,"Children, Family, & Society (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Diversity, Experiential Learning for Social Justice",MWF 02:15 PM - 3:20pm,DOWD 208,"Davila, Omar",5.00,None
CHST 138 (34137),Exceptional Child,"Children, Family, & Society (Pathway)",TR 12:10 PM - 1:50pm,OCONR 205,"Watson, Cary Margaret",5.00,1
ENGL 170 (35633),Writing: Children/Young Adults,"Children, Family, & Society (Pathway), Arts",R 05:40 PM - 8:40pm,ALAM 108,"Myers, Timothy J",5.00,None
PSYC 134 (34632),Psychology of Education,"Children, Family, & Society (Pathway)",TR 03:50 PM - 5:30pm,ALMSC 220,"Urdan, Timothy C.",5.00,None
PSYC 172 (34647),Adolescent Development,"Children, Family, & Society (Pathway)",TR 12:10 PM - 1:50pm,LUCAS 206,"Urdan, Timothy C.",5.00,None
