COURSE TAG,COURSE NAME,CORES SATISFIED
COMM 104 (51896),Special Topics in Film/TV Hist,"Cinema Studies (Pathway), Cultures and Ideas 3"
COMM 130 (51586),Screenwriting,"Cinema Studies (Pathway), Advanced Writing"
COMM 131D (50030),Short Documentary Production,"Cinema Studies (Pathway), Justice and the Arts (Pathway), Arts"
COMM 131D Lab (50033),Short Documentary Production Lab,"Cinema Studies (Pathway), Justice and the Arts (Pathway), Arts"
COMM 131D Lab (50034),Short Documentary Production Lab,"Cinema Studies (Pathway), Justice and the Arts (Pathway), Arts"
COMM 131D Lab (50032),Short Documentary Production Lab,"Cinema Studies (Pathway), Justice and the Arts (Pathway), Arts"
ENGL 122 (51895),"Film, Gender and Sexuality","Cinema Studies (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
WGST 134 (51894),"Film, Gender and Sexuality","Cinema Studies (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
CHST 4 (50079),Cultural Competence & Humility,"Democracy (Pathway), Civic Engagement, Diversity"
COMM 161 (50028),Advanced Journalism,"Democracy (Pathway), Advanced Writing, Experiential Learning for Social Justice"
COMM 164 (51860),Reporting on Justice,"Democracy (Pathway), Law & Social Justice (Pathway), Advanced Writing"
ENVS 22 (50423),Intro to Environmental Studies,"Democracy (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement"
ENVS 22 (51449),Intro to Environmental Studies,"Democracy (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Vocation (Pathway), Civic Engagement"
ENVS 122 (50419),Environmental Politics &Policy,"Democracy (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement"
ETHN 165 (50438),Community Based Rsch Methods,"Democracy (Pathway), Civic Engagement, Diversity"
HIST 95 (50472),Lat Amer:Revolution Inequality,"Democracy (Pathway), Gender, Globalization & Empire (Pathway), Cultures and Ideas 3"
POLI 2 (52009),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science"
POLI 2 (50765),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science"
POLI 2 (50768),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science"
POLI 2 (50764),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science"
POLI 2 (50771),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science"
POLI 157 (51736),Environmental Politics &Policy,"Democracy (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement"
SOCI 30 (51684),"Self, Community, and Society","Democracy (Pathway), Civic Engagement, Experiential Learning for Social Justice"
SOCI 161 (50843),The Criminal Justice Systems,"Democracy (Pathway), Law & Social Justice (Pathway), Civic Engagement"
ANTH 50 (51434),World Geography,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3"
ARTS 74 (50270),Basic Digital Imaging,"Design Thinking (Pathway), The Digital Age (Pathway), Arts"
ARTS 74 (50267),Basic Digital Imaging,"Design Thinking (Pathway), The Digital Age (Pathway), Arts"
COEN 10 (51219),Introduction to Programming,"Design Thinking (Pathway), The Digital Age (Pathway)"
COEN 10 (51271),Introduction to Programming,"Design Thinking (Pathway), The Digital Age (Pathway)"
